id	title	filename	original_image_url	landing_page
museovirasto.A490AF9209411E95CD24148A9D3861F5	veneenhylystä rakennettu kota	images/museovirasto.A490AF9209411E95CD24148A9D3861F5.jpg	https://finna.fi/Cover/Download?id=museovirasto.A490AF9209411E95CD24148A9D3861F5&index=0&size=original&format=tif	https://finna.fi/Record/museovirasto.A490AF9209411E95CD24148A9D3861F5
museovirasto.AE76132A4BF1306E3480F633F4C3DCB2	liiviläisvanhus Dietrich Belt	images/museovirasto.AE76132A4BF1306E3480F633F4C3DCB2.jpg	https://finna.fi/Cover/Download?id=museovirasto.AE76132A4BF1306E3480F633F4C3DCB2&index=0&size=original&format=tif	https://finna.fi/Record/museovirasto.AE76132A4BF1306E3480F633F4C3DCB2
museovirasto.D5069508C3AB1122FADF0A2227798097	89-vuotias Andrõks Hausman	images/museovirasto.D5069508C3AB1122FADF0A2227798097.jpg	https://finna.fi/Cover/Download?id=museovirasto.D5069508C3AB1122FADF0A2227798097&index=0&size=original&format=tif	https://finna.fi/Record/museovirasto.D5069508C3AB1122FADF0A2227798097
museovirasto.D983F9F2C178B32CFB72129898677483	kiuas ja koukut	images/museovirasto.D983F9F2C178B32CFB72129898677483.jpg	https://finna.fi/Cover/Download?id=museovirasto.D983F9F2C178B32CFB72129898677483&index=0&size=original&format=tif	https://finna.fi/Record/museovirasto.D983F9F2C178B32CFB72129898677483
museovirasto.E4C04D17B9D8BFA794A6D050AEF7080A	kalastusvene saapumassa rantaan	images/museovirasto.E4C04D17B9D8BFA794A6D050AEF7080A.jpg	https://finna.fi/Cover/Download?id=museovirasto.E4C04D17B9D8BFA794A6D050AEF7080A&index=0&size=original&format=tif	https://finna.fi/Record/museovirasto.E4C04D17B9D8BFA794A6D050AEF7080A
museovirasto.07CB6A38F3F5EDA35D68E47416D66FB6	Aleks Ollman, Lina Sults ja Jani Daambo käyttävät köydenpunontakonetta	images/museovirasto.07CB6A38F3F5EDA35D68E47416D66FB6.jpg	https://finna.fi/Cover/Download?id=museovirasto.07CB6A38F3F5EDA35D68E47416D66FB6&index=0&size=original&format=tif	https://finna.fi/Record/museovirasto.07CB6A38F3F5EDA35D68E47416D66FB6
museovirasto.0F30C20720D241081FAF6559B68E3B3B	veneenhylystä tehty maja	images/museovirasto.0F30C20720D241081FAF6559B68E3B3B.jpg	https://finna.fi/Cover/Download?id=museovirasto.0F30C20720D241081FAF6559B68E3B3B&index=0&size=original&format=tif	https://finna.fi/Record/museovirasto.0F30C20720D241081FAF6559B68E3B3B
museovirasto.124C29E29A6850F1DA40121D3063D0B0	rantamaisema	images/museovirasto.124C29E29A6850F1DA40121D3063D0B0.jpg	https://finna.fi/Cover/Download?id=museovirasto.124C29E29A6850F1DA40121D3063D0B0&index=0&size=original&format=tif	https://finna.fi/Record/museovirasto.124C29E29A6850F1DA40121D3063D0B0
museovirasto.13BBFF57B01605DF72AF90CDB633372C	entisen ranta-aitan vanhat ovet	images/museovirasto.13BBFF57B01605DF72AF90CDB633372C.jpg	https://finna.fi/Cover/Download?id=museovirasto.13BBFF57B01605DF72AF90CDB633372C&index=0&size=original&format=tif	https://finna.fi/Record/museovirasto.13BBFF57B01605DF72AF90CDB633372C
museovirasto.14202E1712E712A09583F928075AA209	nuottanuorat kuivumassa telineillä	images/museovirasto.14202E1712E712A09583F928075AA209.jpg	https://finna.fi/Cover/Download?id=museovirasto.14202E1712E712A09583F928075AA209&index=0&size=original&format=tif	https://finna.fi/Record/museovirasto.14202E1712E712A09583F928075AA209
museovirasto.3BBD5AA134EF8E72C6BEE70D1E5D508F	miehet punomassa köyttä	images/museovirasto.3BBD5AA134EF8E72C6BEE70D1E5D508F.jpg	https://finna.fi/Cover/Download?id=museovirasto.3BBD5AA134EF8E72C6BEE70D1E5D508F&index=0&size=original&format=tif	https://finna.fi/Record/museovirasto.3BBD5AA134EF8E72C6BEE70D1E5D508F
museovirasto.3E49612DC08245830EAA7ED121E2A758	työkaluja	images/museovirasto.3E49612DC08245830EAA7ED121E2A758.jpg	https://finna.fi/Cover/Download?id=museovirasto.3E49612DC08245830EAA7ED121E2A758&index=0&size=original&format=tif	https://finna.fi/Record/museovirasto.3E49612DC08245830EAA7ED121E2A758
museovirasto.409F1E30E18CF432C652F16BCFDD7BC9	Trīn Freiberg vanhassa morsiuspuvussaan	images/museovirasto.409F1E30E18CF432C652F16BCFDD7BC9.jpg	https://finna.fi/Cover/Download?id=museovirasto.409F1E30E18CF432C652F16BCFDD7BC9&index=0&size=original&format=tif	https://finna.fi/Record/museovirasto.409F1E30E18CF432C652F16BCFDD7BC9
museovirasto.4224AC214C277F3D10FA7ACBEE308BA9	katos verkonmerkkien säilytykseen	images/museovirasto.4224AC214C277F3D10FA7ACBEE308BA9.jpg	https://finna.fi/Cover/Download?id=museovirasto.4224AC214C277F3D10FA7ACBEE308BA9&index=0&size=original&format=tif	https://finna.fi/Record/museovirasto.4224AC214C277F3D10FA7ACBEE308BA9
museovirasto.6CD18985A3EBBDC082088FEFC60F5E1A	hyljekeihään kärkiä, nahkalapikkaiden paikkuuvälineet ja niihin kuuluva tuppi	images/museovirasto.6CD18985A3EBBDC082088FEFC60F5E1A.jpg	https://finna.fi/Cover/Download?id=museovirasto.6CD18985A3EBBDC082088FEFC60F5E1A&index=0&size=original&format=tif	https://finna.fi/Record/museovirasto.6CD18985A3EBBDC082088FEFC60F5E1A
museovirasto.6CF19764E422C0560669AE85AAB318F0	Mari Jakadals ja hänen tyttärensä Elsa Kron	images/museovirasto.6CF19764E422C0560669AE85AAB318F0.jpg	https://finna.fi/Cover/Download?id=museovirasto.6CF19764E422C0560669AE85AAB318F0&index=0&size=original&format=tif	https://finna.fi/Record/museovirasto.6CF19764E422C0560669AE85AAB318F0
museovirasto.8B8902EBAF564C323E1049702CB8235C	kampelasaalista lasketaan	images/museovirasto.8B8902EBAF564C323E1049702CB8235C.jpg	https://finna.fi/Cover/Download?id=museovirasto.8B8902EBAF564C323E1049702CB8235C&index=0&size=original&format=tif	https://finna.fi/Record/museovirasto.8B8902EBAF564C323E1049702CB8235C
